target_name,target_pid,year,title,venue,dblp_key,dblp_url,yale_matches,authors
Dorsa Sadigh,117/3174,2019,Deep Local Trajectory Replanning and Control for Robot Navigation.,ICRA,conf/icra/PokleMGCEYWSSSV19,https://dblp.org/rec/conf/icra/PokleMGCEYWSSSV19,Marynel Vázquez,Ashwini Pokle; Roberto Martín-Martín; Patrick Goebel; Vincent Chow; Hans M. Ewald; Junwei Yang; Zhenkai Wang; Amir Sadeghian; Dorsa Sadigh; Silvio Savarese; Marynel Vázquez
Dorsa Sadigh,117/3174,2019,Deep Local Trajectory Replanning and Control for Robot Navigation.,CoRR,journals/corr/abs-1905-05279,https://dblp.org/rec/journals/corr/abs-1905-05279,Marynel Vázquez,Ashwini Pokle; Roberto Martín-Martín; Patrick Goebel; Vincent Chow; Hans M. Ewald; Junwei Yang; Zhenkai Wang; Amir Sadeghian; Dorsa Sadigh; Silvio Savarese; Marynel Vázquez
Leonidas Guibas,g/LeonidasJGuibas,1992,Optimal Placement of Identical Resources in a Tree,Inf. Comput.,journals/iandc/FischerGGL92,https://dblp.org/rec/journals/iandc/FischerGGL92,Michael Fischer,Michael J. Fischer; Nancy D. Griffeth; Leonidas J. Guibas; Nancy A. Lynch
Leonidas Guibas,g/LeonidasJGuibas,1986,Probabilistic Analysis of a Network Resource Allocation Algorithm,Inf. Control.,journals/iandc/LynchGFG86,https://dblp.org/rec/journals/iandc/LynchGFG86,Michael Fischer,Nancy A. Lynch; Nancy D. Griffeth; Michael J. Fischer; Leonidas J. Guibas
Leonidas Guibas,g/LeonidasJGuibas,1981,Optimal Placement of Identical Resources in a Distributed Network.,ICDCS,conf/icdcs/FischerGGL81,https://dblp.org/rec/conf/icdcs/FischerGGL81,Michael Fischer,Michael J. Fischer; Leonidas J. Guibas; Nancy D. Griffeth; Nancy A. Lynch
Mark Cutkosky,34/2886,2014,Special Issue on the Mechanics and Design of Robotic Hands.,Int. J. Robotics Res.,journals/ijrr/DollarBCH14,https://dblp.org/rec/journals/ijrr/DollarBCH14,Aaron M. Dollar,Aaron M. Dollar; Antonio Bicchi; Mark R. Cutkosky; Robert D. Howe
